============================================================
Configurazione : shallow_high
Semi           : [2, 3, 4]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
============================================================

feature set : high  (7 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 7
  colonne standardizzate a media 0       : 0


------------------------------------------------------------
[seme 2] inizio
------------------------------------------------------------
Addestramento su cpu, 2,600,000 eventi, batch da 100
26,000 aggiornamenti per epoca

epoca   52 | train 0.57518 | val 0.57669 | AUC 0.7685 | lr 0.03815 | mom 0.923 | 17.6 min
epoca   53 | train 0.57527 | val 0.57621 | AUC 0.7664 | lr 0.03796 | mom 0.923 | 17.9 min
epoca   54 | train 0.57532 | val 0.57349 | AUC 0.7687 | lr 0.03776 | mom 0.924 | 18.2 min
epoca   55 | train 0.57513 | val 0.57068 | AUC 0.7696 | lr 0.03756 | mom 0.924 | 18.5 min
epoca   56 | train 0.57535 | val 0.57274 | AUC 0.7673 | lr 0.03737 | mom 0.925 | 18.8 min
epoca   57 | train 0.57526 | val 0.57323 | AUC 0.7671 | lr 0.03717 | mom 0.925 | 19.2 min
epoca   58 | train 0.57525 | val 0.57217 | AUC 0.7686 | lr 0.03698 | mom 0.926 | 19.5 min
epoca   59 | train 0.57540 | val 0.57981 | AUC 0.7622 | lr 0.03679 | mom 0.926 | 19.8 min
epoca   60 | train 0.57538 | val 0.57247 | AUC 0.7700 | lr 0.03660 | mom 0.927 | 20.2 min
epoca   61 | train 0.57519 | val 0.57516 | AUC 0.7659 | lr 0.03641 | mom 0.927 | 20.5 min
epoca   62 | train 0.57532 | val 0.57340 | AUC 0.7698 | lr 0.03622 | mom 0.927 | 20.9 min
epoca   63 | train 0.57541 | val 0.57190 | AUC 0.7686 | lr 0.03603 | mom 0.928 | 21.2 min
epoca   64 | train 0.57544 | val 0.57308 | AUC 0.7687 | lr 0.03585 | mom 0.928 | 21.7 min
epoca   65 | train 0.57517 | val 0.57479 | AUC 0.7655 | lr 0.03566 | mom 0.929 | 22.0 min
epoca   66 | train 0.57533 | val 0.57476 | AUC 0.7682 | lr 0.03547 | mom 0.929 | 22.4 min
epoca   67 | train 0.57533 | val 0.57125 | AUC 0.7696 | lr 0.03529 | mom 0.930 | 22.8 min
epoca   68 | train 0.57535 | val 0.57378 | AUC 0.7696 | lr 0.03511 | mom 0.930 | 23.1 min
epoca   69 | train 0.57538 | val 0.57351 | AUC 0.7674 | lr 0.03493 | mom 0.931 | 23.5 min
epoca   70 | train 0.57536 | val 0.57418 | AUC 0.7683 | lr 0.03474 | mom 0.931 | 23.8 min
epoca   71 | train 0.57532 | val 0.57689 | AUC 0.7673 | lr 0.03456 | mom 0.931 | 24.2 min
epoca   72 | train 0.57542 | val 0.57680 | AUC 0.7685 | lr 0.03439 | mom 0.932 | 24.5 min
epoca   73 | train 0.57551 | val 0.57352 | AUC 0.7671 | lr 0.03421 | mom 0.932 | 24.8 min
epoca   74 | train 0.57531 | val 0.57732 | AUC 0.7659 | lr 0.03403 | mom 0.933 | 25.2 min
epoca   75 | train 0.57536 | val 0.57356 | AUC 0.7669 | lr 0.03385 | mom 0.933 | 25.5 min
epoca   76 | train 0.57533 | val 0.58122 | AUC 0.7678 | lr 0.03368 | mom 0.934 | 25.8 min
epoca   77 | train 0.57527 | val 0.57491 | AUC 0.7682 | lr 0.03350 | mom 0.934 | 26.1 min
epoca   78 | train 0.57544 | val 0.57372 | AUC 0.7696 | lr 0.03333 | mom 0.935 | 26.4 min
epoca   79 | train 0.57523 | val 0.58118 | AUC 0.7678 | lr 0.03316 | mom 0.935 | 26.8 min
epoca   80 | train 0.57538 | val 0.57610 | AUC 0.7678 | lr 0.03298 | mom 0.936 | 27.1 min
epoca   81 | train 0.57539 | val 0.57400 | AUC 0.7683 | lr 0.03281 | mom 0.936 | 27.5 min
epoca   82 | train 0.57542 | val 0.58465 | AUC 0.7654 | lr 0.03264 | mom 0.936 | 27.8 min
epoca   83 | train 0.57546 | val 0.57135 | AUC 0.7691 | lr 0.03247 | mom 0.937 | 28.1 min
epoca   84 | train 0.57543 | val 0.57393 | AUC 0.7675 | lr 0.03231 | mom 0.937 | 28.4 min
epoca   85 | train 0.57544 | val 0.57516 | AUC 0.7654 | lr 0.03214 | mom 0.938 | 28.7 min
epoca   86 | train 0.57553 | val 0.57186 | AUC 0.7701 | lr 0.03197 | mom 0.938 | 29.1 min
epoca   87 | train 0.57547 | val 0.57905 | AUC 0.7659 | lr 0.03180 | mom 0.939 | 29.4 min
epoca   88 | train 0.57553 | val 0.57388 | AUC 0.7674 | lr 0.03164 | mom 0.939 | 29.7 min
epoca   89 | train 0.57543 | val 0.57370 | AUC 0.7686 | lr 0.03148 | mom 0.940 | 30.1 min
epoca   90 | train 0.57555 | val 0.57196 | AUC 0.7687 | lr 0.03131 | mom 0.940 | 30.4 min
epoca   91 | train 0.57545 | val 0.57143 | AUC 0.7697 | lr 0.03115 | mom 0.941 | 30.8 min
epoca   92 | train 0.57552 | val 0.57432 | AUC 0.7668 | lr 0.03099 | mom 0.941 | 31.2 min
epoca   93 | train 0.57555 | val 0.57153 | AUC 0.7690 | lr 0.03083 | mom 0.941 | 31.7 min
epoca   94 | train 0.57575 | val 0.57808 | AUC 0.7696 | lr 0.03067 | mom 0.942 | 32.1 min
epoca   95 | train 0.57577 | val 0.57459 | AUC 0.7666 | lr 0.03051 | mom 0.942 | 32.4 min
epoca   96 | train 0.57559 | val 0.57608 | AUC 0.7653 | lr 0.03035 | mom 0.943 | 32.7 min
epoca   97 | train 0.57558 | val 0.57229 | AUC 0.7686 | lr 0.03019 | mom 0.943 | 33.0 min
epoca   98 | train 0.57564 | val 0.58083 | AUC 0.7649 | lr 0.03004 | mom 0.944 | 33.3 min
epoca   99 | train 0.57554 | val 0.57177 | AUC 0.7694 | lr 0.02988 | mom 0.944 | 33.6 min
epoca  100 | train 0.57556 | val 0.57707 | AUC 0.7672 | lr 0.02973 | mom 0.945 | 33.9 min
epoca  101 | train 0.57569 | val 0.57528 | AUC 0.7699 | lr 0.02957 | mom 0.945 | 34.1 min
epoca  102 | train 0.57550 | val 0.57142 | AUC 0.7701 | lr 0.02942 | mom 0.945 | 34.4 min
epoca  103 | train 0.57571 | val 0.57361 | AUC 0.7694 | lr 0.02927 | mom 0.946 | 34.7 min
epoca  104 | train 0.57586 | val 0.57545 | AUC 0.7647 | lr 0.02911 | mom 0.946 | 35.0 min
epoca  105 | train 0.57565 | val 0.57328 | AUC 0.7667 | lr 0.02896 | mom 0.947 | 35.3 min
epoca  106 | train 0.57583 | val 0.57677 | AUC 0.7688 | lr 0.02881 | mom 0.947 | 35.6 min
epoca  107 | train 0.57598 | val 0.57408 | AUC 0.7666 | lr 0.02866 | mom 0.948 | 35.9 min
epoca  108 | train 0.57578 | val 0.57479 | AUC 0.7662 | lr 0.02851 | mom 0.948 | 36.2 min
epoca  109 | train 0.57576 | val 0.57485 | AUC 0.7693 | lr 0.02837 | mom 0.949 | 36.5 min
epoca  110 | train 0.57577 | val 0.59177 | AUC 0.7682 | lr 0.02822 | mom 0.949 | 36.8 min
epoca  111 | train 0.57596 | val 0.57494 | AUC 0.7665 | lr 0.02807 | mom 0.950 | 37.0 min
epoca  112 | train 0.57589 | val 0.57271 | AUC 0.7696 | lr 0.02793 | mom 0.950 | 37.3 min
epoca  113 | train 0.57583 | val 0.57496 | AUC 0.7660 | lr 0.02778 | mom 0.950 | 37.6 min
epoca  114 | train 0.57588 | val 0.57132 | AUC 0.7694 | lr 0.02764 | mom 0.951 | 37.9 min
epoca  115 | train 0.57590 | val 0.57537 | AUC 0.7649 | lr 0.02750 | mom 0.951 | 38.1 min
epoca  116 | train 0.57585 | val 0.57124 | AUC 0.7688 | lr 0.02735 | mom 0.952 | 38.4 min
epoca  117 | train 0.57582 | val 0.57671 | AUC 0.7695 | lr 0.02721 | mom 0.952 | 38.7 min
epoca  118 | train 0.57587 | val 0.57516 | AUC 0.7664 | lr 0.02707 | mom 0.953 | 39.0 min
epoca  119 | train 0.57599 | val 0.57665 | AUC 0.7662 | lr 0.02693 | mom 0.953 | 39.3 min
epoca  120 | train 0.57615 | val 0.57477 | AUC 0.7682 | lr 0.02679 | mom 0.954 | 39.6 min
epoca  121 | train 0.57608 | val 0.57423 | AUC 0.7664 | lr 0.02665 | mom 0.954 | 39.9 min
epoca  122 | train 0.57611 | val 0.57833 | AUC 0.7696 | lr 0.02651 | mom 0.954 | 40.1 min
epoca  123 | train 0.57614 | val 0.57254 | AUC 0.7688 | lr 0.02638 | mom 0.955 | 40.4 min
epoca  124 | train 0.57585 | val 0.57303 | AUC 0.7676 | lr 0.02624 | mom 0.955 | 40.7 min
epoca  125 | train 0.57616 | val 0.57238 | AUC 0.7681 | lr 0.02610 | mom 0.956 | 40.9 min
epoca  126 | train 0.57613 | val 0.57414 | AUC 0.7696 | lr 0.02597 | mom 0.956 | 41.2 min
epoca  127 | train 0.57613 | val 0.57280 | AUC 0.7681 | lr 0.02583 | mom 0.957 | 41.5 min
epoca  128 | train 0.57607 | val 0.57498 | AUC 0.7689 | lr 0.02570 | mom 0.957 | 41.8 min
epoca  129 | train 0.57623 | val 0.57781 | AUC 0.7628 | lr 0.02556 | mom 0.958 | 42.1 min
epoca  130 | train 0.57629 | val 0.58819 | AUC 0.7645 | lr 0.02543 | mom 0.958 | 42.3 min
epoca  131 | train 0.57658 | val 0.57259 | AUC 0.7680 | lr 0.02530 | mom 0.959 | 42.6 min
epoca  132 | train 0.57647 | val 0.57481 | AUC 0.7676 | lr 0.02517 | mom 0.959 | 42.9 min
epoca  133 | train 0.57623 | val 0.57697 | AUC 0.7657 | lr 0.02504 | mom 0.959 | 43.2 min
epoca  134 | train 0.57674 | val 0.58329 | AUC 0.7639 | lr 0.02491 | mom 0.960 | 43.5 min
epoca  135 | train 0.57648 | val 0.57316 | AUC 0.7670 | lr 0.02478 | mom 0.960 | 43.8 min
epoca  136 | train 0.57647 | val 0.57476 | AUC 0.7676 | lr 0.02465 | mom 0.961 | 44.1 min
epoca  137 | train 0.57650 | val 0.57540 | AUC 0.7653 | lr 0.02452 | mom 0.961 | 44.3 min
epoca  138 | train 0.57655 | val 0.58863 | AUC 0.7657 | lr 0.02440 | mom 0.962 | 44.6 min
epoca  139 | train 0.57665 | val 0.57186 | AUC 0.7690 | lr 0.02427 | mom 0.962 | 45.0 min
epoca  140 | train 0.57672 | val 0.57427 | AUC 0.7676 | lr 0.02414 | mom 0.963 | 45.2 min
epoca  141 | train 0.57670 | val 0.57749 | AUC 0.7635 | lr 0.02402 | mom 0.963 | 45.5 min
epoca  142 | train 0.57644 | val 0.57339 | AUC 0.7674 | lr 0.02389 | mom 0.963 | 45.9 min
epoca  143 | train 0.57690 | val 0.58037 | AUC 0.7682 | lr 0.02377 | mom 0.964 | 46.2 min
epoca  144 | train 0.57707 | val 0.58162 | AUC 0.7636 | lr 0.02365 | mom 0.964 | 46.5 min
epoca  145 | train 0.57688 | val 0.57638 | AUC 0.7652 | lr 0.02352 | mom 0.965 | 46.7 min
