============================================================
Configurazione : shallow_low
Stack          : 2014  (tanh + sgd)
Semi           : [2, 3, 4]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 2] inizio
------------------------------------------------------------
Addestramento su cuda, 2,600,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
26,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_low_seme2

epoca   50 | train 0.63638 | val 0.63264 | AUC 0.6905 | lr 0.038553 | mom 0.922 | 8.8 min
epoca   51 | train 0.63616 | val 0.63241 | AUC 0.6909 | lr 0.038353 | mom 0.922 | 9.0 min
epoca   52 | train 0.63656 | val 0.63480 | AUC 0.6876 | lr 0.038154 | mom 0.923 | 9.1 min
epoca   53 | train 0.63660 | val 0.63542 | AUC 0.6928 | lr 0.037956 | mom 0.923 | 9.3 min
epoca   54 | train 0.63630 | val 0.64085 | AUC 0.6827 | lr 0.037759 | mom 0.924 | 9.5 min
epoca   55 | train 0.63632 | val 0.63349 | AUC 0.6887 | lr 0.037563 | mom 0.924 | 9.7 min
epoca   56 | train 0.63651 | val 0.63844 | AUC 0.6843 | lr 0.037368 | mom 0.925 | 9.9 min
epoca   57 | train 0.63656 | val 0.64584 | AUC 0.6821 | lr 0.037174 | mom 0.925 | 10.0 min
epoca   58 | train 0.63641 | val 0.63387 | AUC 0.6906 | lr 0.036982 | mom 0.926 | 10.2 min
epoca   59 | train 0.63638 | val 0.63422 | AUC 0.6884 | lr 0.036790 | mom 0.926 | 10.4 min
epoca   60 | train 0.63657 | val 0.63870 | AUC 0.6803 | lr 0.036599 | mom 0.927 | 10.6 min
epoca   61 | train 0.63647 | val 0.63313 | AUC 0.6900 | lr 0.036409 | mom 0.927 | 10.8 min
epoca   62 | train 0.63669 | val 0.63647 | AUC 0.6861 | lr 0.036220 | mom 0.927 | 10.9 min
epoca   63 | train 0.63654 | val 0.64246 | AUC 0.6881 | lr 0.036033 | mom 0.928 | 11.1 min
epoca   64 | train 0.63641 | val 0.63856 | AUC 0.6854 | lr 0.035846 | mom 0.928 | 11.3 min
epoca   65 | train 0.63624 | val 0.63671 | AUC 0.6865 | lr 0.035660 | mom 0.929 | 11.5 min
epoca   66 | train 0.63661 | val 0.63397 | AUC 0.6901 | lr 0.035475 | mom 0.929 | 11.6 min
epoca   67 | train 0.63659 | val 0.63902 | AUC 0.6822 | lr 0.035291 | mom 0.930 | 11.8 min
epoca   68 | train 0.63643 | val 0.63519 | AUC 0.6862 | lr 0.035108 | mom 0.930 | 12.0 min
epoca   69 | train 0.63651 | val 0.63655 | AUC 0.6855 | lr 0.034926 | mom 0.931 | 12.1 min
