============================================================
Configurazione : deep_high
Semi           : [2, 3, 4]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
============================================================

feature set : high  (7 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 7
  colonne standardizzate a media 0       : 0


------------------------------------------------------------
[seme 2] inizio
------------------------------------------------------------
Addestramento su cpu, 2,600,000 eventi, batch da 100
26,000 aggiornamenti per epoca

epoca   53 | train 0.55125 | val 0.55430 | AUC 0.7867 | lr 0.03796 | mom 0.923 | 98.7 min
epoca   54 | train 0.55135 | val 0.54824 | AUC 0.7907 | lr 0.03776 | mom 0.924 | 100.5 min
epoca   55 | train 0.55129 | val 0.54741 | AUC 0.7905 | lr 0.03756 | mom 0.924 | 102.3 min
epoca   56 | train 0.55134 | val 0.55191 | AUC 0.7884 | lr 0.03737 | mom 0.925 | 104.2 min
epoca   57 | train 0.55125 | val 0.55390 | AUC 0.7857 | lr 0.03717 | mom 0.925 | 106.1 min
epoca   58 | train 0.55130 | val 0.55521 | AUC 0.7836 | lr 0.03698 | mom 0.926 | 107.8 min
epoca   59 | train 0.55117 | val 0.55138 | AUC 0.7865 | lr 0.03679 | mom 0.926 | 109.6 min
epoca   60 | train 0.55142 | val 0.55561 | AUC 0.7907 | lr 0.03660 | mom 0.927 | 111.4 min
epoca   61 | train 0.55123 | val 0.55112 | AUC 0.7870 | lr 0.03641 | mom 0.927 | 113.2 min
epoca   62 | train 0.55131 | val 0.54700 | AUC 0.7912 | lr 0.03622 | mom 0.927 | 115.0 min
epoca   63 | train 0.55133 | val 0.54536 | AUC 0.7922 | lr 0.03603 | mom 0.928 | 116.8 min
epoca   64 | train 0.55126 | val 0.55361 | AUC 0.7861 | lr 0.03585 | mom 0.928 | 118.6 min
epoca   65 | train 0.55121 | val 0.54974 | AUC 0.7884 | lr 0.03566 | mom 0.929 | 120.3 min
epoca   66 | train 0.55117 | val 0.55804 | AUC 0.7851 | lr 0.03547 | mom 0.929 | 122.1 min
epoca   67 | train 0.55118 | val 0.54693 | AUC 0.7913 | lr 0.03529 | mom 0.930 | 124.0 min
epoca   68 | train 0.55093 | val 0.55133 | AUC 0.7879 | lr 0.03511 | mom 0.930 | 125.7 min
epoca   69 | train 0.55113 | val 0.54932 | AUC 0.7899 | lr 0.03493 | mom 0.931 | 127.5 min
epoca   70 | train 0.55121 | val 0.54816 | AUC 0.7910 | lr 0.03474 | mom 0.931 | 129.3 min
epoca   71 | train 0.55118 | val 0.54832 | AUC 0.7901 | lr 0.03456 | mom 0.931 | 131.1 min
epoca   72 | train 0.55127 | val 0.55110 | AUC 0.7895 | lr 0.03439 | mom 0.932 | 132.9 min
epoca   73 | train 0.55119 | val 0.55233 | AUC 0.7884 | lr 0.03421 | mom 0.932 | 134.7 min
epoca   74 | train 0.55120 | val 0.55207 | AUC 0.7886 | lr 0.03403 | mom 0.933 | 136.4 min
epoca   75 | train 0.55091 | val 0.55092 | AUC 0.7870 | lr 0.03385 | mom 0.933 | 138.3 min
epoca   76 | train 0.55121 | val 0.55242 | AUC 0.7877 | lr 0.03368 | mom 0.934 | 140.0 min
epoca   77 | train 0.55117 | val 0.54854 | AUC 0.7900 | lr 0.03350 | mom 0.934 | 141.8 min
epoca   78 | train 0.55119 | val 0.55091 | AUC 0.7896 | lr 0.03333 | mom 0.935 | 143.6 min
epoca   79 | train 0.55123 | val 0.55087 | AUC 0.7888 | lr 0.03316 | mom 0.935 | 145.4 min
epoca   80 | train 0.55113 | val 0.55085 | AUC 0.7899 | lr 0.03298 | mom 0.936 | 147.1 min
