============================================================
Configurazione : shallow_low
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/alice/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_low_seme0

epoca   50 | train 0.62937 | val 0.62952 | AUC 0.6951 | lr 0.018394 | mom 0.922 | 64.8 min
epoca   51 | train 0.62937 | val 0.63219 | AUC 0.6966 | lr 0.018030 | mom 0.922 | 66.1 min
epoca   52 | train 0.62931 | val 0.62791 | AUC 0.6985 | lr 0.017673 | mom 0.923 | 67.4 min
epoca   53 | train 0.62911 | val 0.62701 | AUC 0.7000 | lr 0.017323 | mom 0.923 | 68.7 min
epoca   54 | train 0.62913 | val 0.62896 | AUC 0.7005 | lr 0.016980 | mom 0.924 | 70.0 min
epoca   55 | train 0.62908 | val 0.62939 | AUC 0.6964 | lr 0.016644 | mom 0.924 | 71.4 min
epoca   56 | train 0.62900 | val 0.62753 | AUC 0.7001 | lr 0.016314 | mom 0.925 | 72.8 min
epoca   57 | train 0.62887 | val 0.62766 | AUC 0.6990 | lr 0.015991 | mom 0.925 | 74.1 min
epoca   58 | train 0.62881 | val 0.62848 | AUC 0.6990 | lr 0.015674 | mom 0.926 | 75.5 min
epoca   59 | train 0.62878 | val 0.62725 | AUC 0.7008 | lr 0.015364 | mom 0.926 | 76.9 min
epoca   60 | train 0.62867 | val 0.62710 | AUC 0.6991 | lr 0.015060 | mom 0.927 | 78.2 min
epoca   61 | train 0.62862 | val 0.62839 | AUC 0.6978 | lr 0.014762 | mom 0.927 | 79.5 min
epoca   62 | train 0.62857 | val 0.62649 | AUC 0.7005 | lr 0.014469 | mom 0.927 | 80.8 min
epoca   63 | train 0.62851 | val 0.62705 | AUC 0.6992 | lr 0.014183 | mom 0.928 | 82.1 min
epoca   64 | train 0.62847 | val 0.62678 | AUC 0.7002 | lr 0.013902 | mom 0.928 | 83.4 min
epoca   65 | train 0.62837 | val 0.62787 | AUC 0.6985 | lr 0.013627 | mom 0.929 | 84.7 min
