============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [1, 2]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 1] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme1

epoca    1 | train 0.59357 | val 0.56472 | AUC 0.7783 | lr 0.049010 | mom 0.900 | 1.4 min
epoca    2 | train 0.56036 | val 0.55727 | AUC 0.7863 | lr 0.048039 | mom 0.900 | 2.9 min
epoca    3 | train 0.55169 | val 0.54503 | AUC 0.7956 | lr 0.047088 | mom 0.901 | 4.3 min
epoca    4 | train 0.54404 | val 0.54114 | AUC 0.8024 | lr 0.046156 | mom 0.901 | 5.7 min
epoca    5 | train 0.53674 | val 0.53323 | AUC 0.8055 | lr 0.045242 | mom 0.902 | 7.1 min
epoca    6 | train 0.53180 | val 0.53102 | AUC 0.8104 | lr 0.044346 | mom 0.902 | 8.6 min
epoca    7 | train 0.52787 | val 0.52562 | AUC 0.8132 | lr 0.043468 | mom 0.903 | 10.0 min
epoca    8 | train 0.52442 | val 0.52588 | AUC 0.8125 | lr 0.042607 | mom 0.903 | 11.4 min
epoca    9 | train 0.52151 | val 0.52000 | AUC 0.8202 | lr 0.041764 | mom 0.904 | 12.8 min
epoca   10 | train 0.51905 | val 0.52069 | AUC 0.8218 | lr 0.040937 | mom 0.904 | 14.3 min
epoca   11 | train 0.51699 | val 0.51558 | AUC 0.8218 | lr 0.040126 | mom 0.904 | 15.7 min
epoca   12 | train 0.51497 | val 0.51179 | AUC 0.8246 | lr 0.039331 | mom 0.905 | 17.1 min
epoca   13 | train 0.51318 | val 0.51022 | AUC 0.8251 | lr 0.038553 | mom 0.905 | 18.5 min
epoca   14 | train 0.51183 | val 0.51599 | AUC 0.8244 | lr 0.037789 | mom 0.906 | 20.0 min
epoca   15 | train 0.51076 | val 0.50604 | AUC 0.8289 | lr 0.037041 | mom 0.906 | 21.4 min
epoca   16 | train 0.50967 | val 0.51247 | AUC 0.8232 | lr 0.036307 | mom 0.907 | 22.8 min
epoca   17 | train 0.50829 | val 0.51019 | AUC 0.8273 | lr 0.035589 | mom 0.907 | 24.2 min
epoca   18 | train 0.50703 | val 0.50445 | AUC 0.8303 | lr 0.034884 | mom 0.908 | 25.7 min
epoca   19 | train 0.50603 | val 0.51208 | AUC 0.8285 | lr 0.034193 | mom 0.908 | 27.1 min
epoca   20 | train 0.50500 | val 0.50392 | AUC 0.8297 | lr 0.033516 | mom 0.909 | 28.5 min
epoca   21 | train 0.50410 | val 0.50440 | AUC 0.8315 | lr 0.032852 | mom 0.909 | 29.9 min
epoca   22 | train 0.50335 | val 0.50372 | AUC 0.8315 | lr 0.032202 | mom 0.909 | 31.4 min
epoca   23 | train 0.50268 | val 0.50324 | AUC 0.8309 | lr 0.031564 | mom 0.910 | 32.8 min
epoca   24 | train 0.50188 | val 0.49756 | AUC 0.8351 | lr 0.030939 | mom 0.910 | 34.2 min
