============================================================
Configurazione : deep_low
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/deep_low_seme0

epoca   50 | train 0.48633 | val 0.48477 | AUC 0.8446 | lr 0.018394 | mom 0.922 | 70.8 min
epoca   51 | train 0.48573 | val 0.48460 | AUC 0.8452 | lr 0.018030 | mom 0.922 | 72.2 min
epoca   52 | train 0.48499 | val 0.48808 | AUC 0.8440 | lr 0.017673 | mom 0.923 | 73.6 min
epoca   53 | train 0.48437 | val 0.48890 | AUC 0.8434 | lr 0.017323 | mom 0.923 | 75.1 min
epoca   54 | train 0.48386 | val 0.48321 | AUC 0.8454 | lr 0.016980 | mom 0.924 | 76.5 min
epoca   55 | train 0.48327 | val 0.48427 | AUC 0.8456 | lr 0.016644 | mom 0.924 | 77.9 min
epoca   56 | train 0.48267 | val 0.48292 | AUC 0.8460 | lr 0.016314 | mom 0.925 | 79.3 min
epoca   57 | train 0.48214 | val 0.48174 | AUC 0.8466 | lr 0.015991 | mom 0.925 | 80.7 min
epoca   58 | train 0.48169 | val 0.49327 | AUC 0.8456 | lr 0.015674 | mom 0.926 | 82.1 min
epoca   59 | train 0.48124 | val 0.48184 | AUC 0.8468 | lr 0.015364 | mom 0.926 | 83.5 min
epoca   60 | train 0.48069 | val 0.48042 | AUC 0.8476 | lr 0.015060 | mom 0.927 | 85.0 min
epoca   61 | train 0.48019 | val 0.48247 | AUC 0.8479 | lr 0.014762 | mom 0.927 | 86.4 min
epoca   62 | train 0.47981 | val 0.47981 | AUC 0.8485 | lr 0.014469 | mom 0.927 | 87.8 min
epoca   63 | train 0.47918 | val 0.48028 | AUC 0.8480 | lr 0.014183 | mom 0.928 | 89.2 min
epoca   64 | train 0.47877 | val 0.47934 | AUC 0.8485 | lr 0.013902 | mom 0.928 | 90.6 min
epoca   65 | train 0.47833 | val 0.48257 | AUC 0.8461 | lr 0.013627 | mom 0.929 | 92.0 min
epoca   66 | train 0.47792 | val 0.48144 | AUC 0.8492 | lr 0.013357 | mom 0.929 | 93.5 min
epoca   67 | train 0.47749 | val 0.47637 | AUC 0.8506 | lr 0.013092 | mom 0.930 | 94.9 min
epoca   68 | train 0.47713 | val 0.47548 | AUC 0.8520 | lr 0.012833 | mom 0.930 | 96.3 min
epoca   69 | train 0.47665 | val 0.48179 | AUC 0.8482 | lr 0.012579 | mom 0.931 | 97.7 min
epoca   70 | train 0.47619 | val 0.47536 | AUC 0.8516 | lr 0.012330 | mom 0.931 | 99.1 min
epoca   71 | train 0.47584 | val 0.47554 | AUC 0.8514 | lr 0.012086 | mom 0.931 | 100.5 min
epoca   72 | train 0.47541 | val 0.47647 | AUC 0.8512 | lr 0.011846 | mom 0.932 | 102.0 min
epoca   73 | train 0.47496 | val 0.47360 | AUC 0.8524 | lr 0.011612 | mom 0.932 | 103.4 min
epoca   74 | train 0.47454 | val 0.47330 | AUC 0.8528 | lr 0.011382 | mom 0.933 | 104.8 min
epoca   75 | train 0.47426 | val 0.47623 | AUC 0.8508 | lr 0.011157 | mom 0.933 | 106.2 min
epoca   76 | train 0.47387 | val 0.47595 | AUC 0.8514 | lr 0.010936 | mom 0.934 | 107.6 min
epoca   77 | train 0.47359 | val 0.47353 | AUC 0.8524 | lr 0.010719 | mom 0.934 | 109.0 min
epoca   78 | train 0.47301 | val 0.46954 | AUC 0.8551 | lr 0.010507 | mom 0.935 | 110.5 min
epoca   79 | train 0.47277 | val 0.47274 | AUC 0.8544 | lr 0.010299 | mom 0.935 | 111.9 min
epoca   80 | train 0.47243 | val 0.47580 | AUC 0.8522 | lr 0.010095 | mom 0.936 | 113.3 min
epoca   81 | train 0.47194 | val 0.47533 | AUC 0.8533 | lr 0.009895 | mom 0.936 | 114.7 min
epoca   82 | train 0.47161 | val 0.47470 | AUC 0.8535 | lr 0.009699 | mom 0.936 | 116.1 min
epoca   83 | train 0.47125 | val 0.46985 | AUC 0.8555 | lr 0.009507 | mom 0.937 | 117.5 min
epoca   84 | train 0.47096 | val 0.47582 | AUC 0.8525 | lr 0.009319 | mom 0.937 | 118.9 min
epoca   85 | train 0.47064 | val 0.46997 | AUC 0.8552 | lr 0.009134 | mom 0.938 | 120.4 min
epoca   86 | train 0.47014 | val 0.47371 | AUC 0.8525 | lr 0.008953 | mom 0.938 | 121.8 min
epoca   87 | train 0.46981 | val 0.46997 | AUC 0.8550 | lr 0.008776 | mom 0.939 | 123.2 min
