============================================================
Configurazione : deep_low
Stack          : moderno  (relu + adamw)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/moderno/
Log TensorBoard: runs/moderno/
============================================================

feature set : low  (21 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 6
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: adamw, lr iniziale 0.0021
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/moderno/deep_low_seme0

epoca   50 | train 0.47827 | val 0.47795 | AUC 0.8494 | lr 0.000131 | mom 0.900 | 91.0 min
epoca   51 | train 0.47823 | val 0.47864 | AUC 0.8488 | lr 0.000131 | mom 0.900 | 92.8 min
epoca   52 | train 0.47828 | val 0.47885 | AUC 0.8487 | lr 0.000131 | mom 0.900 | 94.6 min
epoca   53 | train 0.47831 | val 0.47882 | AUC 0.8488 | lr 0.000131 | mom 0.900 | 96.4 min
epoca   54 | train 0.47832 | val 0.47875 | AUC 0.8488 | lr 0.000066 | mom 0.900 | 98.3 min
epoca   55 | train 0.47456 | val 0.47567 | AUC 0.8512 | lr 0.000066 | mom 0.900 | 100.1 min
epoca   56 | train 0.47437 | val 0.47525 | AUC 0.8513 | lr 0.000066 | mom 0.900 | 101.9 min
epoca   57 | train 0.47435 | val 0.47524 | AUC 0.8513 | lr 0.000066 | mom 0.900 | 103.7 min
epoca   58 | train 0.47436 | val 0.47496 | AUC 0.8515 | lr 0.000066 | mom 0.900 | 105.6 min
epoca   59 | train 0.47439 | val 0.47497 | AUC 0.8515 | lr 0.000066 | mom 0.900 | 107.4 min
epoca   60 | train 0.47435 | val 0.47548 | AUC 0.8511 | lr 0.000066 | mom 0.900 | 109.2 min
epoca   61 | train 0.47437 | val 0.47500 | AUC 0.8515 | lr 0.000066 | mom 0.900 | 111.0 min
epoca   62 | train 0.47441 | val 0.47521 | AUC 0.8514 | lr 0.000033 | mom 0.900 | 112.9 min
epoca   63 | train 0.47222 | val 0.47312 | AUC 0.8528 | lr 0.000033 | mom 0.900 | 114.7 min
epoca   64 | train 0.47205 | val 0.47286 | AUC 0.8530 | lr 0.000033 | mom 0.900 | 116.5 min
epoca   65 | train 0.47188 | val 0.47271 | AUC 0.8531 | lr 0.000033 | mom 0.900 | 118.3 min
epoca   66 | train 0.47167 | val 0.47285 | AUC 0.8530 | lr 0.000033 | mom 0.900 | 120.2 min
epoca   67 | train 0.47136 | val 0.47230 | AUC 0.8534 | lr 0.000033 | mom 0.900 | 122.0 min
epoca   68 | train 0.47114 | val 0.47216 | AUC 0.8534 | lr 0.000033 | mom 0.900 | 123.8 min
epoca   69 | train 0.47090 | val 0.47199 | AUC 0.8536 | lr 0.000033 | mom 0.900 | 125.7 min
epoca   70 | train 0.47076 | val 0.47178 | AUC 0.8537 | lr 0.000033 | mom 0.900 | 127.5 min
epoca   71 | train 0.47062 | val 0.47176 | AUC 0.8537 | lr 0.000033 | mom 0.900 | 129.3 min
epoca   72 | train 0.47053 | val 0.47167 | AUC 0.8538 | lr 0.000033 | mom 0.900 | 131.2 min
epoca   73 | train 0.47047 | val 0.47180 | AUC 0.8537 | lr 0.000033 | mom 0.900 | 133.0 min
epoca   74 | train 0.47038 | val 0.47149 | AUC 0.8540 | lr 0.000033 | mom 0.900 | 134.8 min
epoca   75 | train 0.47032 | val 0.47122 | AUC 0.8541 | lr 0.000033 | mom 0.900 | 136.6 min
epoca   76 | train 0.47024 | val 0.47144 | AUC 0.8540 | lr 0.000033 | mom 0.900 | 138.5 min
epoca   77 | train 0.47018 | val 0.47157 | AUC 0.8539 | lr 0.000033 | mom 0.900 | 140.3 min
epoca   78 | train 0.47010 | val 0.47136 | AUC 0.8540 | lr 0.000033 | mom 0.900 | 142.1 min
