============================================================
Configurazione : deep_complete
Stack          : moderno  (relu + adamw)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/moderno/
Log TensorBoard: runs/moderno/
============================================================

feature set : complete  (28 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 13
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: adamw, lr iniziale 0.0021
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/moderno/deep_complete_seme0

epoca   50 | train 0.46658 | val 0.46678 | AUC 0.8568 | lr 0.000008 | mom 0.900 | 91.2 min
epoca   51 | train 0.46599 | val 0.46627 | AUC 0.8570 | lr 0.000008 | mom 0.900 | 93.1 min
epoca   52 | train 0.46595 | val 0.46601 | AUC 0.8572 | lr 0.000008 | mom 0.900 | 94.9 min
epoca   53 | train 0.46594 | val 0.46598 | AUC 0.8572 | lr 0.000008 | mom 0.900 | 96.7 min
epoca   54 | train 0.46593 | val 0.46606 | AUC 0.8572 | lr 0.000008 | mom 0.900 | 98.5 min
epoca   55 | train 0.46592 | val 0.46599 | AUC 0.8572 | lr 0.000008 | mom 0.900 | 100.3 min
epoca   56 | train 0.46591 | val 0.46610 | AUC 0.8572 | lr 0.000004 | mom 0.900 | 102.2 min
epoca   57 | train 0.46565 | val 0.46599 | AUC 0.8573 | lr 0.000004 | mom 0.900 | 104.0 min
epoca   58 | train 0.46574 | val 0.46598 | AUC 0.8572 | lr 0.000004 | mom 0.900 | 105.8 min
epoca   59 | train 0.46584 | val 0.46607 | AUC 0.8572 | lr 0.000004 | mom 0.900 | 107.6 min
epoca   60 | train 0.46592 | val 0.46614 | AUC 0.8572 | lr 0.000002 | mom 0.900 | 109.5 min
epoca   61 | train 0.46576 | val 0.46597 | AUC 0.8572 | lr 0.000002 | mom 0.900 | 111.3 min
epoca   62 | train 0.46567 | val 0.46594 | AUC 0.8572 | lr 0.000002 | mom 0.900 | 113.1 min
epoca   63 | train 0.46560 | val 0.46582 | AUC 0.8573 | lr 0.000002 | mom 0.900 | 114.9 min
epoca   64 | train 0.46553 | val 0.46577 | AUC 0.8574 | lr 0.000002 | mom 0.900 | 116.8 min
epoca   65 | train 0.46546 | val 0.46576 | AUC 0.8574 | lr 0.000002 | mom 0.900 | 118.6 min
epoca   66 | train 0.46541 | val 0.46570 | AUC 0.8574 | lr 0.000002 | mom 0.900 | 120.4 min
epoca   67 | train 0.46536 | val 0.46571 | AUC 0.8574 | lr 0.000002 | mom 0.900 | 122.3 min
epoca   68 | train 0.46531 | val 0.46556 | AUC 0.8575 | lr 0.000002 | mom 0.900 | 124.1 min
epoca   69 | train 0.46526 | val 0.46552 | AUC 0.8575 | lr 0.000002 | mom 0.900 | 125.9 min
epoca   70 | train 0.46522 | val 0.46547 | AUC 0.8575 | lr 0.000002 | mom 0.900 | 127.8 min
epoca   71 | train 0.46518 | val 0.46552 | AUC 0.8575 | lr 0.000002 | mom 0.900 | 129.6 min
epoca   72 | train 0.46514 | val 0.46550 | AUC 0.8575 | lr 0.000002 | mom 0.900 | 131.4 min
epoca   73 | train 0.46511 | val 0.46541 | AUC 0.8576 | lr 0.000002 | mom 0.900 | 133.2 min
epoca   74 | train 0.46508 | val 0.46539 | AUC 0.8576 | lr 0.000002 | mom 0.900 | 135.1 min
epoca   75 | train 0.46504 | val 0.46533 | AUC 0.8576 | lr 0.000002 | mom 0.900 | 136.9 min
epoca   76 | train 0.46501 | val 0.46527 | AUC 0.8576 | lr 0.000002 | mom 0.900 | 138.7 min
epoca   77 | train 0.46498 | val 0.46531 | AUC 0.8576 | lr 0.000002 | mom 0.900 | 140.5 min
epoca   78 | train 0.46495 | val 0.46527 | AUC 0.8576 | lr 0.000002 | mom 0.900 | 142.4 min
epoca   79 | train 0.46493 | val 0.46530 | AUC 0.8576 | lr 0.000002 | mom 0.900 | 144.2 min
epoca   80 | train 0.46490 | val 0.46518 | AUC 0.8577 | lr 0.000002 | mom 0.900 | 146.0 min
epoca   81 | train 0.46487 | val 0.46515 | AUC 0.8577 | lr 0.000002 | mom 0.900 | 147.8 min
epoca   82 | train 0.46485 | val 0.46518 | AUC 0.8577 | lr 0.000002 | mom 0.900 | 149.6 min
epoca   83 | train 0.46482 | val 0.46515 | AUC 0.8577 | lr 0.000002 | mom 0.900 | 151.5 min
epoca   84 | train 0.46480 | val 0.46507 | AUC 0.8578 | lr 0.000002 | mom 0.900 | 153.3 min
epoca   85 | train 0.46477 | val 0.46511 | AUC 0.8577 | lr 0.000002 | mom 0.900 | 155.1 min
epoca   86 | train 0.46475 | val 0.46510 | AUC 0.8577 | lr 0.000002 | mom 0.900 | 156.9 min
epoca   87 | train 0.46473 | val 0.46506 | AUC 0.8578 | lr 0.000002 | mom 0.900 | 158.8 min
epoca   88 | train 0.46471 | val 0.46503 | AUC 0.8578 | lr 0.000002 | mom 0.900 | 160.6 min
