============================================================
Configurazione : shallow_complete
Stack          : 2014  (tanh + sgd)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/riproduzione/
Log TensorBoard: runs/riproduzione/
============================================================

feature set : complete  (28 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 13
  colonne standardizzate a media 0       : 15


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 10,000,000 eventi, batch da 100
Ottimizzatore: sgd, lr iniziale 0.05
100,000 aggiornamenti per epoca
Log TensorBoard in /home/alice/Deep-Learning/ExoticParticles_HEP/runs/riproduzione/shallow_complete_seme0

epoca   50 | train 0.54216 | val 0.54230 | AUC 0.7982 | lr 0.018394 | mom 0.922 | 66.4 min
epoca   51 | train 0.54210 | val 0.54033 | AUC 0.8000 | lr 0.018030 | mom 0.922 | 67.7 min
epoca   52 | train 0.54194 | val 0.53892 | AUC 0.8014 | lr 0.017673 | mom 0.923 | 69.1 min
epoca   53 | train 0.54187 | val 0.54131 | AUC 0.8003 | lr 0.017323 | mom 0.923 | 70.5 min
epoca   54 | train 0.54179 | val 0.55159 | AUC 0.8005 | lr 0.016980 | mom 0.924 | 71.8 min
epoca   55 | train 0.54177 | val 0.54338 | AUC 0.7986 | lr 0.016644 | mom 0.924 | 73.2 min
epoca   56 | train 0.54161 | val 0.54313 | AUC 0.8015 | lr 0.016314 | mom 0.925 | 74.6 min
epoca   57 | train 0.54153 | val 0.53914 | AUC 0.8010 | lr 0.015991 | mom 0.925 | 76.0 min
epoca   58 | train 0.54146 | val 0.54048 | AUC 0.8018 | lr 0.015674 | mom 0.926 | 77.4 min
epoca   59 | train 0.54145 | val 0.53837 | AUC 0.8025 | lr 0.015364 | mom 0.926 | 78.7 min
epoca   60 | train 0.54130 | val 0.54039 | AUC 0.8010 | lr 0.015060 | mom 0.927 | 80.0 min
epoca   61 | train 0.54118 | val 0.54147 | AUC 0.8013 | lr 0.014762 | mom 0.927 | 81.4 min
epoca   62 | train 0.54113 | val 0.53945 | AUC 0.8022 | lr 0.014469 | mom 0.927 | 82.7 min
epoca   63 | train 0.54100 | val 0.54577 | AUC 0.8018 | lr 0.014183 | mom 0.928 | 84.0 min
epoca   64 | train 0.54097 | val 0.53853 | AUC 0.8016 | lr 0.013902 | mom 0.928 | 85.4 min
epoca   65 | train 0.54066 | val 0.53952 | AUC 0.8021 | lr 0.013627 | mom 0.929 | 86.7 min
epoca   66 | train 0.54055 | val 0.54088 | AUC 0.8001 | lr 0.013357 | mom 0.929 | 88.1 min
epoca   67 | train 0.54048 | val 0.53714 | AUC 0.8029 | lr 0.013092 | mom 0.930 | 89.4 min
epoca   68 | train 0.54034 | val 0.53699 | AUC 0.8032 | lr 0.012833 | mom 0.930 | 90.8 min
epoca   69 | train 0.54023 | val 0.54073 | AUC 0.8009 | lr 0.012579 | mom 0.931 | 92.1 min
epoca   70 | train 0.54022 | val 0.53989 | AUC 0.8012 | lr 0.012330 | mom 0.931 | 93.5 min
epoca   71 | train 0.54020 | val 0.53785 | AUC 0.8021 | lr 0.012086 | mom 0.931 | 94.8 min
epoca   72 | train 0.54001 | val 0.53778 | AUC 0.8025 | lr 0.011846 | mom 0.932 | 96.2 min
epoca   73 | train 0.54001 | val 0.53808 | AUC 0.8022 | lr 0.011612 | mom 0.932 | 97.5 min
epoca   74 | train 0.53994 | val 0.53848 | AUC 0.8030 | lr 0.011382 | mom 0.933 | 98.9 min
epoca   75 | train 0.53987 | val 0.53913 | AUC 0.8018 | lr 0.011157 | mom 0.933 | 100.2 min
epoca   76 | train 0.53987 | val 0.53840 | AUC 0.8037 | lr 0.010936 | mom 0.934 | 101.6 min
epoca   77 | train 0.53976 | val 0.53743 | AUC 0.8029 | lr 0.010719 | mom 0.934 | 102.9 min
epoca   78 | train 0.53964 | val 0.54146 | AUC 0.8001 | lr 0.010507 | mom 0.935 | 104.2 min
epoca   79 | train 0.53964 | val 0.53693 | AUC 0.8031 | lr 0.010299 | mom 0.935 | 105.6 min
epoca   80 | train 0.53953 | val 0.53691 | AUC 0.8030 | lr 0.010095 | mom 0.936 | 106.9 min
epoca   81 | train 0.53947 | val 0.53848 | AUC 0.8034 | lr 0.009895 | mom 0.936 | 108.2 min
