============================================================
Configurazione : deep_high
Stack          : moderno  (relu + adamw)
Semi           : [0]
Eventi train   : 10,000,000
Batch          : 100
Epoche massime : 300
Risultati in   : results/moderno/
Log TensorBoard: runs/moderno/
============================================================

feature set : high  (7 colonne)
  train : 10,000,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 7
  colonne standardizzate a media 0       : 0


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cuda, 10,000,000 eventi, batch da 100
Ottimizzatore: adamw, lr iniziale 0.0021
100,000 aggiornamenti per epoca
Log TensorBoard in /home/luca/Desktop/Code/ali/Deep-Learning/ExoticParticles_HEP/runs/moderno/deep_high_seme0

epoca   50 | train 0.54121 | val 0.54171 | AUC 0.7958 | lr 0.000033 | mom 0.900 | 91.2 min
epoca   51 | train 0.54043 | val 0.54018 | AUC 0.7973 | lr 0.000033 | mom 0.900 | 93.0 min
epoca   52 | train 0.54039 | val 0.53939 | AUC 0.7978 | lr 0.000033 | mom 0.900 | 94.8 min
epoca   53 | train 0.54037 | val 0.53956 | AUC 0.7977 | lr 0.000033 | mom 0.900 | 96.6 min
epoca   54 | train 0.54036 | val 0.53970 | AUC 0.7976 | lr 0.000033 | mom 0.900 | 98.5 min
epoca   55 | train 0.54037 | val 0.53955 | AUC 0.7977 | lr 0.000033 | mom 0.900 | 100.3 min
epoca   56 | train 0.54036 | val 0.54024 | AUC 0.7972 | lr 0.000016 | mom 0.900 | 102.1 min
epoca   57 | train 0.53995 | val 0.53952 | AUC 0.7979 | lr 0.000016 | mom 0.900 | 103.9 min
epoca   58 | train 0.53998 | val 0.53921 | AUC 0.7979 | lr 0.000016 | mom 0.900 | 105.8 min
epoca   59 | train 0.53999 | val 0.53933 | AUC 0.7979 | lr 0.000016 | mom 0.900 | 107.6 min
epoca   60 | train 0.54002 | val 0.53932 | AUC 0.7979 | lr 0.000016 | mom 0.900 | 109.4 min
epoca   61 | train 0.54004 | val 0.53945 | AUC 0.7978 | lr 0.000016 | mom 0.900 | 111.2 min
epoca   62 | train 0.54005 | val 0.53942 | AUC 0.7978 | lr 0.000008 | mom 0.900 | 113.0 min
epoca   63 | train 0.53984 | val 0.53918 | AUC 0.7980 | lr 0.000008 | mom 0.900 | 114.9 min
epoca   64 | train 0.53983 | val 0.53916 | AUC 0.7981 | lr 0.000008 | mom 0.900 | 116.7 min
epoca   65 | train 0.53982 | val 0.53949 | AUC 0.7977 | lr 0.000008 | mom 0.900 | 118.5 min
epoca   66 | train 0.53983 | val 0.53917 | AUC 0.7980 | lr 0.000004 | mom 0.900 | 120.4 min
epoca   67 | train 0.53973 | val 0.53934 | AUC 0.7980 | lr 0.000004 | mom 0.900 | 122.2 min
epoca   68 | train 0.53978 | val 0.53920 | AUC 0.7980 | lr 0.000004 | mom 0.900 | 124.0 min
epoca   69 | train 0.53984 | val 0.53920 | AUC 0.7980 | lr 0.000004 | mom 0.900 | 125.9 min
epoca   70 | train 0.53988 | val 0.53928 | AUC 0.7979 | lr 0.000002 | mom 0.900 | 127.7 min
epoca   71 | train 0.53981 | val 0.53918 | AUC 0.7980 | lr 0.000002 | mom 0.900 | 129.5 min
epoca   72 | train 0.53977 | val 0.53919 | AUC 0.7980 | lr 0.000002 | mom 0.900 | 131.4 min
epoca   73 | train 0.53973 | val 0.53911 | AUC 0.7981 | lr 0.000002 | mom 0.900 | 133.2 min
epoca   74 | train 0.53969 | val 0.53910 | AUC 0.7981 | lr 0.000002 | mom 0.900 | 135.0 min
epoca   75 | train 0.53966 | val 0.53913 | AUC 0.7980 | lr 0.000002 | mom 0.900 | 136.8 min
epoca   76 | train 0.53963 | val 0.53903 | AUC 0.7981 | lr 0.000002 | mom 0.900 | 138.7 min
epoca   77 | train 0.53961 | val 0.53903 | AUC 0.7981 | lr 0.000002 | mom 0.900 | 140.5 min
epoca   78 | train 0.53958 | val 0.53901 | AUC 0.7981 | lr 0.000002 | mom 0.900 | 142.3 min
epoca   79 | train 0.53956 | val 0.53903 | AUC 0.7981 | lr 0.000002 | mom 0.900 | 144.1 min
epoca   80 | train 0.53954 | val 0.53895 | AUC 0.7982 | lr 0.000002 | mom 0.900 | 146.0 min
epoca   81 | train 0.53952 | val 0.53891 | AUC 0.7982 | lr 0.000002 | mom 0.900 | 147.8 min
epoca   82 | train 0.53950 | val 0.53892 | AUC 0.7982 | lr 0.000002 | mom 0.900 | 149.6 min
epoca   83 | train 0.53948 | val 0.53890 | AUC 0.7982 | lr 0.000002 | mom 0.900 | 151.4 min
epoca   84 | train 0.53946 | val 0.53887 | AUC 0.7982 | lr 0.000002 | mom 0.900 | 153.2 min
epoca   85 | train 0.53945 | val 0.53886 | AUC 0.7982 | lr 0.000002 | mom 0.900 | 155.1 min
epoca   86 | train 0.53943 | val 0.53890 | AUC 0.7982 | lr 0.000002 | mom 0.900 | 156.9 min
epoca   87 | train 0.53942 | val 0.53884 | AUC 0.7983 | lr 0.000002 | mom 0.900 | 158.7 min
epoca   88 | train 0.53940 | val 0.53884 | AUC 0.7983 | lr 0.000001 | mom 0.900 | 160.5 min
epoca   89 | train 0.53936 | val 0.53880 | AUC 0.7983 | lr 0.000001 | mom 0.900 | 162.4 min
epoca   90 | train 0.53935 | val 0.53880 | AUC 0.7983 | lr 0.000001 | mom 0.900 | 164.2 min
epoca   91 | train 0.53935 | val 0.53879 | AUC 0.7983 | lr 0.000001 | mom 0.900 | 166.0 min
epoca   92 | train 0.53934 | val 0.53877 | AUC 0.7983 | lr 0.000001 | mom 0.900 | 167.8 min
epoca   93 | train 0.53934 | val 0.53878 | AUC 0.7983 | lr 0.000001 | mom 0.900 | 169.7 min
epoca   94 | train 0.53931 | val 0.53876 | AUC 0.7983 | lr 0.000001 | mom 0.900 | 171.5 min
epoca   95 | train 0.53931 | val 0.53875 | AUC 0.7983 | lr 0.000001 | mom 0.900 | 173.3 min
epoca   96 | train 0.53931 | val 0.53875 | AUC 0.7983 | lr 0.000001 | mom 0.900 | 175.1 min
epoca   97 | train 0.53930 | val 0.53874 | AUC 0.7983 | lr 0.000001 | mom 0.900 | 177.0 min
epoca   98 | train 0.53930 | val 0.53874 | AUC 0.7983 | lr 0.000001 | mom 0.900 | 178.8 min
epoca   99 | train 0.53930 | val 0.53874 | AUC 0.7984 | lr 0.000000 | mom 0.900 | 180.6 min
epoca  100 | train 0.53929 | val 0.53873 | AUC 0.7984 | lr 0.000000 | mom 0.900 | 182.4 min
epoca  101 | train 0.53929 | val 0.53874 | AUC 0.7984 | lr 0.000000 | mom 0.900 | 184.3 min
epoca  102 | train 0.53928 | val 0.53873 | AUC 0.7984 | lr 0.000000 | mom 0.900 | 186.1 min
epoca  103 | train 0.53928 | val 0.53875 | AUC 0.7983 | lr 0.000000 | mom 0.900 | 187.9 min
epoca  104 | train 0.53928 | val 0.53874 | AUC 0.7984 | lr 0.000000 | mom 0.900 | 189.7 min
epoca  105 | train 0.53928 | val 0.53874 | AUC 0.7983 | lr 0.000000 | mom 0.900 | 191.6 min
epoca  106 | train 0.53928 | val 0.53873 | AUC 0.7984 | lr 0.000000 | mom 0.900 | 193.4 min
epoca  107 | train 0.53928 | val 0.53873 | AUC 0.7984 | lr 0.000000 | mom 0.900 | 195.2 min
epoca  108 | train 0.53927 | val 0.53873 | AUC 0.7984 | lr 0.000000 | mom 0.900 | 197.0 min
epoca  109 | train 0.53927 | val 0.53873 | AUC 0.7984 | lr 0.000000 | mom 0.900 | 198.8 min
epoca  110 | train 0.53927 | val 0.53873 | AUC 0.7984 | lr 0.000000 | mom 0.900 | 200.7 min
epoca  111 | train 0.53927 | val 0.53873 | AUC 0.7984 | lr 0.000000 | mom 0.900 | 202.5 min
epoca  112 | train 0.53927 | val 0.53873 | AUC 0.7984 | lr 0.000000 | mom 0.900 | 204.3 min

Fermato: nessun miglioramento da 10 epoche.

Migliore perdita di validation: 0.53873
Epoche eseguite: 112
Tempo totale: 204.3 min

[seme 0] TEST: perdita 0.53914, AUC 0.7980

============================================================
deep_high: AUC = 0.7980  (un solo seme)
semi inclusi  : [0]
valori singoli: [0.798]
epoche         : [112]
============================================================
