============================================================
Configurazione : deep_high
Semi           : [0, 1]
Eventi train   : 2,600,000
Batch          : 100
Epoche massime : 300
============================================================

feature set : high  (7 colonne)
  train : 2,600,000 eventi
  val   :   500,000 eventi
  test  :   500,000 eventi
  colonne riscalate a media 1 (positive) : 7
  colonne standardizzate a media 0       : 0


------------------------------------------------------------
[seme 0] inizio
------------------------------------------------------------
Addestramento su cpu, 2,600,000 eventi, batch da 100
26,000 aggiornamenti per epoca

epoca   53 | train 0.55125 | val 0.55277 | AUC 0.7893 | lr 0.03796 | mom 0.923 | 98.1 min
epoca   54 | train 0.55135 | val 0.54717 | AUC 0.7913 | lr 0.03776 | mom 0.924 | 99.8 min
epoca   55 | train 0.55125 | val 0.54773 | AUC 0.7915 | lr 0.03756 | mom 0.924 | 101.6 min
epoca   56 | train 0.55146 | val 0.54884 | AUC 0.7908 | lr 0.03737 | mom 0.925 | 103.4 min
epoca   57 | train 0.55112 | val 0.54772 | AUC 0.7909 | lr 0.03717 | mom 0.925 | 105.3 min
epoca   58 | train 0.55108 | val 0.55675 | AUC 0.7869 | lr 0.03698 | mom 0.926 | 107.1 min
epoca   59 | train 0.55114 | val 0.55352 | AUC 0.7849 | lr 0.03679 | mom 0.926 | 108.9 min
epoca   60 | train 0.55112 | val 0.55206 | AUC 0.7868 | lr 0.03660 | mom 0.927 | 110.7 min
epoca   61 | train 0.55107 | val 0.55310 | AUC 0.7868 | lr 0.03641 | mom 0.927 | 112.4 min
epoca   62 | train 0.55125 | val 0.54822 | AUC 0.7911 | lr 0.03622 | mom 0.927 | 114.2 min
epoca   63 | train 0.55112 | val 0.54911 | AUC 0.7889 | lr 0.03603 | mom 0.928 | 116.0 min
epoca   64 | train 0.55122 | val 0.54786 | AUC 0.7902 | lr 0.03585 | mom 0.928 | 117.8 min
epoca   65 | train 0.55110 | val 0.55419 | AUC 0.7851 | lr 0.03566 | mom 0.929 | 119.5 min
epoca   66 | train 0.55117 | val 0.55146 | AUC 0.7891 | lr 0.03547 | mom 0.929 | 121.3 min
epoca   67 | train 0.55122 | val 0.54902 | AUC 0.7905 | lr 0.03529 | mom 0.930 | 123.1 min
epoca   68 | train 0.55115 | val 0.54981 | AUC 0.7889 | lr 0.03511 | mom 0.930 | 124.9 min
epoca   69 | train 0.55125 | val 0.54931 | AUC 0.7920 | lr 0.03493 | mom 0.931 | 126.6 min
epoca   70 | train 0.55119 | val 0.54643 | AUC 0.7913 | lr 0.03474 | mom 0.931 | 128.4 min
epoca   71 | train 0.55120 | val 0.55387 | AUC 0.7901 | lr 0.03456 | mom 0.931 | 130.2 min
epoca   72 | train 0.55122 | val 0.55382 | AUC 0.7852 | lr 0.03439 | mom 0.932 | 132.1 min
epoca   73 | train 0.55111 | val 0.55123 | AUC 0.7885 | lr 0.03421 | mom 0.932 | 133.9 min
epoca   74 | train 0.55124 | val 0.54988 | AUC 0.7886 | lr 0.03403 | mom 0.933 | 135.7 min
epoca   75 | train 0.55128 | val 0.54992 | AUC 0.7911 | lr 0.03385 | mom 0.933 | 137.5 min
epoca   76 | train 0.55120 | val 0.54609 | AUC 0.7919 | lr 0.03368 | mom 0.934 | 139.3 min
epoca   77 | train 0.55129 | val 0.54719 | AUC 0.7909 | lr 0.03350 | mom 0.934 | 141.1 min
epoca   78 | train 0.55148 | val 0.55318 | AUC 0.7859 | lr 0.03333 | mom 0.935 | 142.9 min
epoca   79 | train 0.55123 | val 0.55092 | AUC 0.7884 | lr 0.03316 | mom 0.935 | 144.7 min
epoca   80 | train 0.55150 | val 0.54937 | AUC 0.7902 | lr 0.03298 | mom 0.936 | 146.5 min
